Iterations;alpha-0.25;alpha-4.00;alpha-1.00;alpha-2.00;alpha-3.00;alpha-0.33;alpha-0.50
1800000;59;121;69;77;114;60;61
1810000;60;114;71;81;112;62;61
1820000;60;104;66;81;106;61;64
1830000;60;116;67;88;105;60;65
1840000;59;116;74;87;109;60;62
1850000;59;114;65;88;97;59;62
1860000;59;119;73;85;101;62;62
1870000;59;118;65;92;100;60;62
1880000;60;107;67;89;104;60;61
1890000;60;118;68;81;105;60;62
1900000;60;115;68;93;108;60;59
1910000;59;110;71;95;107;59;61
1920000;59;97;70;89;106;61;64
1930000;60;108;66;87;101;60;65
1940000;60;110;68;91;103;63;61
1950000;60;115;66;102;97;61;64
1960000;60;112;66;90;96;63;68
1970000;60;106;69;91;96;62;64
1980000;61;113;69;88;88;60;61
1990000;60;118;66;94;96;60;62
2000000;61;128;69;82;100;59;61
2010000;59;117;68;87;94;60;59
2020000;58;105;67;87;102;60;66
2030000;58;115;66;88;96;62;64
2040000;58;116;68;96;115;59;63
2050000;58;116;67;78;100;61;65
2060000;59;115;68;78;109;63;63
2070000;59;115;70;105;109;61;64
2080000;58;121;72;80;113;60;67
2090000;58;116;69;91;120;59;65
2100000;60;117;73;96;114;59;65
2110000;59;117;72;90;98;61;60
2120000;58;112;73;96;103;62;61
2130000;59;109;75;72;111;60;65
2140000;58;123;78;79;105;61;63
2150000;58;119;66;97;110;60;63
2160000;58;115;73;89;102;59;67
2170000;59;112;73;87;106;59;63
2180000;59;112;73;85;103;63;64
2190000;58;116;72;75;107;60;66
2200000;58;123;73;92;118;59;66
2210000;58;119;62;85;102;60;62
2220000;58;124;75;83;101;61;62
2230000;60;117;64;93;111;61;65
2240000;60;119;78;92;104;61;62
2250000;60;120;71;81;117;61;63
2260000;58;118;65;93;120;62;64
2270000;58;114;71;76;100;61;60
2280000;59;117;68;80;104;59;60
2290000;59;121;70;71;109;61;62
2300000;60;120;71;80;108;60;62
2310000;59;112;75;83;103;60;60
2320000;59;105;65;86;100;60;63
2330000;59;115;69;89;103;61;62
2340000;60;121;68;91;99;59;62
2350000;59;123;75;79;95;62;62
2360000;61;117;72;93;117;60;62
2370000;59;109;67;86;100;60;64
2380000;59;110;65;78;103;59;64
2390000;59;112;69;79;102;59;62
2400000;59;112;67;81;109;59;64
2410000;59;114;64;86;102;61;61
2420000;59;114;65;92;100;60;60
2430000;59;117;66;91;106;60;61
2440000;59;119;70;92;100;59;63
2450000;62;111;65;76;96;60;62
2460000;60;119;68;85;90;59;64
2470000;60;109;71;81;102;59;62
2480000;59;108;67;84;101;59;61
2490000;59;112;67;88;105;61;61
2500000;59;123;66;83;110;60;63
2510000;59;114;73;81;112;60;60
2520000;59;121;64;88;99;62;62
2530000;59;120;73;94;112;59;62
2540000;59;103;71;94;108;59;59
2550000;59;116;69;84;97;59;58
2560000;59;112;67;90;114;59;65
2570000;60;116;67;86;114;61;62
2580000;58;112;69;78;101;61;59
2590000;61;115;72;91;100;62;64
2600000;58;116;67;94;103;62;60
2610000;59;108;68;83;90;60;61
2620000;58;116;65;85;90;63;59
2630000;59;110;67;85;102;62;61
2640000;58;112;64;82;95;63;64
2650000;59;107;66;92;99;60;70
2660000;58;107;78;84;105;62;59
2670000;58;112;67;84;102;62;64
2680000;60;112;71;87;99;63;63
2690000;59;106;67;84;109;62;64
2700000;58;108;69;75;116;61;61
2710000;60;114;69;87;97;62;59
2720000;61;114;72;85;104;64;62
2730000;59;112;67;87;104;62;58
2740000;59;111;74;95;103;62;64
2750000;60;110;66;96;99;62;60
2760000;61;115;67;84;103;62;59
2770000;62;111;65;84;99;61;64
2780000;58;113;65;82;93;64;62
2790000;58;113;72;96;95;61;62
2800000;58;119;70;84;110;62;60
2810000;59;109;72;95;99;62;60
2820000;58;114;66;76;106;65;60
2830000;59;113;73;89;106;62;62
2840000;58;122;66;88;105;62;62
2850000;63;115;66;89;108;61;63
2860000;60;119;65;93;114;61;59
2870000;60;122;67;103;112;64;57
2880000;59;119;69;83;103;63;61
2890000;58;118;63;90;104;61;61
2900000;58;112;65;92;111;61;60
2910000;59;115;71;83;104;60;61
2920000;59;115;71;89;105;60;60
2930000;58;108;69;101;104;60;65
2940000;58;120;71;92;112;62;62
2950000;58;120;75;84;106;61;62
2960000;58;116;68;87;107;62;62
2970000;58;120;62;82;101;60;61
2980000;58;110;73;98;113;61;60
2990000;58;115;70;103;105;62;60
3000000;58;120;68;93;106;62;65
